trn,fromUser,toUser,trnTime
1,mj,jc,1649153218.3189063
1,mj,jc,1649153289.1368952
1,mj,jc,1649153373.0
1,mj,jc,1649156730.7549336
1,mj,jc,1649156864.6517172
1,mj,jc,1649156903.4728627
1,mj,jc,1649157005.8189166
1,mj,jc,1649157062.383644
1,mj,jc,1649157315.632144
1,mj,jc,1649157368.1849606
1,mj,jc,1649157452.2846017
1,mj,jc,1649157626.2111871
1,mj,jc,1649157662.4516256
1,mj,jc,1649157691.8552327
1,mj,jc,1649157717.691446
1,mj,jc,1649157783.827047
1,mj,jc,1649157898.3484795
1,mj,jc,1649158096.1415615
1,mj,jc,1649158137.790803
1,mj,jc,1649158157.8996294
1,mj,jc,1649158218.4873128
1,mj,jc,1649158238.8400657
1,mj,jc,1649158281.4878447
1,mj,jc,1649158302.679086
1,mj,jc,1649158326.4758654
1,mj,jc,1649158356.204402
1,mj,jc,1649158381.7732472
1,mj,jc,1649158411.7782056
1,mj,jc,1649158437.1117136
1,mj,jc,1649158487.828031
1,mj,jc,1649158520.419286
1,mj,jc,1649158538.4459937
2,jc,mj,1649159179.6075678
2,jc,mj,1649159278.2711017
2,jc,mj,1649159312.3917422
2,jc,mj,1649159365.1114085
2,jc,mj,1649159391.9676185
3,jc,mj,1649160057.16734
4,jc,mj,1649160107.7404318
5,jc,mj,1649160131.7275624
6,mj,je,1649929688.0701194
7,mj,je,1649930055.0110433
8,mj,je,1649930093.62949
9,mj,je,1649930133.2124014
10,mj,je,1649930178.193023
11,mj,je,1649930218.3080287
12,mj,je,1649930644.6489315
13,mj,je,1649931166.5983024
14,mj,je,1649932156.973143
15,mj,je,1649932254.5677817
16,mj,je,1649932266.595558
17,mj,je,1649932274.527585
18,mj,je,1649932757.10545
19,mj,je,1649932933.9447634
20,mj,je,1649933059.2546935
21,mj,je,1649933223.1574154
22,mj,je,1649933797.3837032
23,mj,je,1649935617.977891
24,mj,je,1649935815.3547812
25,mj,je,1649935841.7233922
26,mj,je,1649935914.9037254
27,mj,je,1649935989.864247
28,mj,je,1649936015.919181
29,mj,je,1649936054.310997
30,,,1650467692.875115
31,,,1650467849.0713265
32,,,1650467886.9969451
33,,,1650479368.208085
34,mj,je,1650479384.962757
